STEP-0; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [12,12]
STEP-1; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [11,13]
STEP-2; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [12,13]
STEP-3; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [11,14]
STEP-4; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [10,15]
STEP-5; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [11,16]
STEP-6; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [10,17]
STEP-7; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [10,18]
STEP-8; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [9,19]
STEP-9; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [10,18]
STEP-10; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [10,19]
STEP-11; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [11,20]
STEP-12; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [10,21]
STEP-13; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [10,22]
STEP-14; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [9,23]
STEP-15; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [8,23]
STEP-16; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [9,22]
